sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-S-QC-Q01;Québec;Q01;Spring;49152;2;0.432727013;2;2075.380458;1;4.4;4.1;4.5;4.6;28.5;28.7;30.1;26.8;36.9;38.9;33.6;38.2;15:53:00;16:53:00;2022-05-14;46.85421;-71.4145;6.24E+05;5.80E+00;1.20E-15;-14.92029068;FALSE
22-S-QC-Q02;Québec;Q02;Spring;113579;4;0.606990646;3;958.7493772;1;6.07;9.5;4.4;4.3;26.5;25.9;26.7;26.8;40.3;43.1;39.4;38.3;14:16:00;15:16:00;2022-05-14;46.83636;-71.40513;1.47E+02;2.17E+00;1.38E+25;25.14045462;FALSE
22-S-QC-Q03;Québec;Q03;Spring;73088;3;0.553323943;3;2407.695979;1;4.67;4;5.3;4.7;22.4;21.9;22.7;22.7;42.7;39.1;44.3;44.8;10:29:00;11:29:00;2022-05-14;46.81419;-71.36044;2.34E+06;6.37E+00;0;#NOMBRE!;FALSE
22-S-QC-Q04;Québec;Q04;Spring;109056;4;0.457704591;3;2065.194542;1;5.93;5.1;3.6;9.1;20;18.7;20.5;20.7;46.5;55.3;42.6;41.7;8:55:00;9:55:00;2022-05-14;46.78145;-71.36003;1.39E+06;6.14E+00;2.37E-20;-19.62525715;FALSE
22-S-QC-Q05;Québec;Q05;Spring;72192;3;0.607582232;3;491.4704643;1;10.53;10.4;12.4;8.8;32;31.9;32.2;31.8;32.1;32.4;31.2;32.7;11:51:00;12:51:00;2022-05-13;46.77072;-71.38365;3.69E+06;6.57E+00;1.90E-19;-18.72216625;FALSE
22-S-QC-Q06;Québec;Q06;Spring;72192;3;0.304700347;2;4788.653928;2;2.63;6.6;1.3;0;24.9;25.2;25;24.6;21.8;21.2;22.1;22.2;18:44:00;19:44:00;2022-05-12;46.83124;-71.24294;5.12E+06;6.71E+00;1.58E-17;-16.80010502;FALSE
22-S-QC-Q07;Québec;Q07;Spring;48768;2;0.34428839;2;1902.21988;1;1.17;2.6;0.6;0.3;14.8;15.5;14.5;14.4;43.7;36.8;48.5;45.7;20:58:00;21:58:00;2022-05-18;46.84632;-71.20978;2.03E+05;5.31E+00;1.25E-21;-20.90401167;FALSE
22-S-QC-Q08;Québec;Q08;Spring;43674;2;0.419913877;2;2245.994557;1;5.07;4.6;8.2;2.4;16.5;17.7;16.2;15.6;33.1;27.9;36.6;34.8;19:28:00;20:28:00;2022-05-18;46.86521;-71.21897;1.16E+05;5.06E+00;1.04E-17;-16.98310449;FALSE
22-S-QC-Q09;Québec;Q09;Spring;63488;2;0.292346218;1;1273.239545;1;7.23;13.2;5.1;3.4;22.4;22.2;22.5;22.5;29;29.7;28.9;28.3;12:50:00;13:50:00;2022-05-19;46.87822;-71.19501;1.19E+07;7.08E+00;0;#NOMBRE!;FALSE
22-S-QC-Q10;Québec;Q10;Spring;116992;4;0.546654151;3;109.4986008;1;2.23;0.3;1.8;4.6;21.5;21.7;21.4;21.5;33.7;41.5;29.5;30.2;11:18:00;12:18:00;2022-05-19;46.89306;-71.2232;6.35E+05;5.80E+00;0;#NOMBRE!;FALSE
